route,weather,hour,day_of_week,delay_minutes
Route 33 (CBD-Umoja),sunny,13.0,Tuesday,10.0
Route 46 (CBD-Kikuyu),,18.0,Monday,23.4
Route 33 (CBD-Umoja),cloudy,22.0,Thursday,12.2
Route 33 (CBD-Umoja),cloudy,18.0,Wednesday,25.7
Route 33 (CBD-Umoja),sunny,17.0,Monday,17.1
Route 33 (CBD-Umoja),heavy_rain,22.0,Monday,18.3
Route 46 (CBD-Kikuyu),light_rain,11.0,Saturday,24.7
Route 33 (CBD-Umoja),cloudy,8.0,Thursday,22.7
Route 9 (CBD-Karen),light_rain,11.0,Saturday,10.1
Route 46 (CBD-Kikuyu),cloudy,22.0,Saturday,15.0
Route 46 (CBD-Kikuyu),cloudy,15.0,Sunday,10.9
Route 9 (CBD-Karen),heavy_rain,13.0,Monday,22.1
Route 9 (CBD-Karen),cloudy,20.0,Thursday,13.0
Route 58 (CBD-Westlands),cloudy,22.0,Friday,6.7
Route 111 (CBD-Rongai),light_rain,12.0,Tuesday,21.9
Route 33 (CBD-Umoja),cloudy,10.0,Sunday,3.4
Route 46 (CBD-Kikuyu),heavy_rain,21.0,Wednesday,
Route 33 (CBD-Umoja),light_rain,15.0,Monday,
Route 9 (CBD-Karen),cloudy,21.0,Monday,8.4
Route 46 (CBD-Kikuyu),cloudy,9.0,Wednesday,21.2
Route 46 (CBD-Kikuyu),,15.0,Thursday,19.9
Route 9 (CBD-Karen),cloudy,6.0,Tuesday,11.1
Route 111 (CBD-Rongai),sunny,22.0,Sunday,14.3
Route 58 (CBD-Westlands),light_rain,21.0,Sunday,9.5
Route 58 (CBD-Westlands),light_rain,17.0,Saturday,23.0
Route 33 (CBD-Umoja),cloudy,12.0,Monday,10.0
Route 58 (CBD-Westlands),sunny,7.0,Saturday,13.4
Route 9 (CBD-Karen),sunny,21.0,Tuesday,11.5
Route 46 (CBD-Kikuyu),heavy_rain,12.0,Sunday,27.2
Route 111 (CBD-Rongai),light_rain,18.0,Thursday,37.6
Route 33 (CBD-Umoja),sunny,17.0,Saturday,11.6
Route 58 (CBD-Westlands),heavy_rain,9.0,Thursday,46.2
Route 33 (CBD-Umoja),heavy_rain,22.0,Monday,19.1
Route 33 (CBD-Umoja),cloudy,10.0,Thursday,5.4
Route 33 (CBD-Umoja),cloudy,17.0,Monday,22.9
Route 111 (CBD-Rongai),light_rain,18.0,Saturday,29.9
Route 111 (CBD-Rongai),cloudy,11.0,Wednesday,22.4
Route 33 (CBD-Umoja),light_rain,6.0,Monday,5.0
Route 58 (CBD-Westlands),sunny,21.0,Monday,6.7
Route 58 (CBD-Westlands),heavy_rain,8.0,Friday,39.6
Route 111 (CBD-Rongai),light_rain,13.0,Tuesday,31.8
Route 58 (CBD-Westlands),light_rain,19.0,Wednesday,
Route 46 (CBD-Kikuyu),sunny,7.0,Friday,23.5
